"Id","Watt","currentTime","core0Usage...","core1Usage...","core2Usage...","core3Usage...","totalCpuUsage...","totalMemory","availableMemory","usedMemory","percentageMemory...","buffersMemory","cachedMemory","totalSwap","freeSwap","usedSwap","percentageSwap...","totalExt4Partition","usedExt4Partition","freeExt4Partition","percentageExt4Partition...","totalBootPartition","usedBootPartition","freeBootPartition","percentageBootPartition...","total_IO_read","total_IO_write","Time"
20,"4.30","2021-06-30 14:57:09.879152",26.2,12.4,100,17.6,75,3979698176,2719109120,1133387776,31.7,54263808,1220694016,104853504,104853504,0,0,15379681280,12275593216,2427351040,83.5,264289280,30773248,233516032,11.6,1170737664,43058176,19.0173649191856
21,"4.20","2021-06-30 14:58:09.951110",27.7,8.3,100,15.3,50,3979698176,2719326208,1132150784,31.7,54370304,1221779456,104853504,104853504,0,0,15379681280,12275638272,2427305984,83.5,264289280,30773248,233516032,11.6,1170737664,43373568,20.0185642162959
22,"4.20","2021-06-30 14:59:10.025219",29,7.5,100,15.3,75,3979698176,2720083968,1131409408,31.7,54472704,1221828608,104853504,104853504,0,0,15379681280,12275687424,2427256832,83.5,264289280,30773248,233516032,11.6,1170737664,43750400,21.0197993675868
23,"4.10","2021-06-30 15:00:10.102205",28.8,7.1,100,15.9,75,3979698176,2720264192,1131175936,31.6,54579200,1221885952,104853504,104853504,0,0,15379681280,12275732480,2427211776,83.5,264289280,30773248,233516032,11.6,1170737664,44102656,22.0210824688276
24,"4.20","2021-06-30 15:01:10.170783",30.1,8.4,100,16,50,3979698176,2721308672,1131257856,31.6,54689792,1220886528,104853504,104853504,0,0,15379681280,12275785728,2427158528,83.5,264289280,30773248,233516032,11.6,1170737664,44512256,23.0222254355748
25,"4.30","2021-06-30 15:02:10.241949",31.7,7.8,100,17.9,0,3979698176,2725900288,1126682624,31.5,54796288,1220939776,104853504,104853504,0,0,15379681280,12275834880,2427109376,83.5,264289280,30773248,233516032,11.6,1170737664,44913664,24.0234115362167
26,"4.20","2021-06-30 15:03:10.285480",31.6,7.8,100,17.8,0,3979698176,2730688512,1121910784,31.4,54894592,1220927488,104853504,104853504,0,0,15379681280,12275875840,2427068416,83.5,264289280,30773248,233516032,11.6,1170741760,45290496,25.0241370519002
27,"4.00","2021-06-30 15:04:10.310134",32.4,20,60.7,16.2,75,3979698176,2730516480,1123106816,31.4,54984704,1219948544,104853504,104853504,0,0,15379681280,12275912704,2427031552,83.5,264289280,30773248,233516032,11.6,1170741760,45622272,26.0245479504267
28,"4.20","2021-06-30 15:05:10.382490",47.3,13,76,15.6,66.7,3979698176,2732228608,1121349632,31.3,55083008,1220075520,104853504,104853504,0,0,15379681280,12275965952,2426978304,83.5,264289280,30773248,233516032,11.6,1170741760,45995008,27.0257538835208
29,"4.10","2021-06-30 15:06:10.408628",100,13.5,21.4,15.7,66.7,3979698176,2730561536,1121177600,31.4,55181312,1221894144,104853504,104853504,0,0,15379681280,12275998720,2426945536,83.5,264289280,30773248,233516032,11.6,1170741760,46343168,28.0261895179749
30,"4.20","2021-06-30 15:07:10.475374",100,13.7,21.4,15.7,50,3979698176,2729664512,1123151872,31.4,55271424,1220878336,104853504,104853504,0,0,15379681280,12276047872,2426896384,83.5,264289280,30773248,233516032,11.6,1170741760,46646272,29.0273019512494
31,"4.10","2021-06-30 15:08:10.543490",100,13.4,21.9,15.7,50,3979698176,2729226240,1122541568,31.4,55369728,1221992448,104853504,104853504,0,0,15379681280,12276092928,2426851328,83.5,264289280,30773248,233516032,11.6,1170741760,46998528,30.0284372170766
32,"4.20","2021-06-30 15:09:10.611379",100,13.6,21.5,15.6,66.7,3979698176,2728652800,1123053568,31.4,55468032,1222057984,104853504,104853504,0,0,15379681280,12276146176,2426798080,83.5,264289280,30773248,233516032,11.6,1170741760,47379456,31.0295686999957
33,"4.20","2021-06-30 15:10:10.670932",100,13.4,21.1,15,50,3979698176,2729472000,1123045376,31.4,55558144,1221382144,104853504,104853504,0,0,15379681280,12276195328,2426748928,83.5,264289280,30773248,233516032,11.6,1170741760,47682560,32.030561252435
34,"4.10","2021-06-30 15:11:10.684732",100,12.4,18.6,13.6,50,3979698176,2729574400,1124007936,31.4,55656448,1220255744,104853504,104853504,0,0,15379681280,12276228096,2426716160,83.5,264289280,30773248,233516032,11.6,1170741760,48055296,33.0307912508647
