"Id","Watt","currentTime","core0Usage...","core1Usage...","core2Usage...","core3Usage...","totalCpuUsage...","totalMemory","availableMemory","usedMemory","percentageMemory...","buffersMemory","cachedMemory","totalSwap","freeSwap","usedSwap","percentageSwap...","totalExt4Partition","usedExt4Partition","freeExt4Partition","percentageExt4Partition...","totalBootPartition","usedBootPartition","freeBootPartition","percentageBootPartition...","total_IO_read","total_IO_write","Time","Platform","Algorithm","Size","Workload"
11,4.2,"2021-06-29 17:44:22.511287",22.4,47.8,15.5,65.3,50,3979698176,3289772032,564420608,17.3,61423616,632684544,104853504,104853504,0,0,15379681280,12247277568,2455666688,83.3,264289280,30773248,233516032,11.6,588569088,67875840,10.0092875003815,"EDGE","CNN","32",0.1
12,4.2,"2021-06-29 17:45:22.582409",23.2,52.9,55.2,20.1,50,3979698176,3286237184,566910976,17.4,61521920,633790464,104853504,104853504,0,0,15379681280,12247322624,2455621632,83.3,264289280,30773248,233516032,11.6,588569088,68203520,11.0104728658994,"EDGE","CNN","32",0.1
13,4.2,"2021-06-29 17:46:22.598947",23.5,15.8,92.8,17.4,50,3979698176,3284545536,569655296,17.5,61612032,632754176,104853504,104853504,0,0,15379681280,12247359488,2455584768,83.3,264289280,30773248,233516032,11.6,588569088,68523008,12.0107485016187,"EDGE","CNN","32",0.1
14,4.3,"2021-06-29 17:47:22.670729",24.6,36.1,65.3,24.3,50,3979698176,3281797120,571346944,17.5,61710336,633909248,104853504,104853504,0,0,15379681280,12247384064,2455560192,83.3,264289280,30773248,233516032,11.6,588569088,68871168,13.0119448661804,"EDGE","CNN","32",0.1
15,4.2,"2021-06-29 17:48:22.742423",16.2,92.6,22.1,21.5,50,3979698176,3279339520,574828544,17.6,61800448,632922112,104853504,104853504,0,0,15379681280,12247420928,2455523328,83.3,264289280,30773248,233516032,11.6,588569088,69219328,14.0131397684415,"EDGE","CNN","32",0.1
16,4.2,"2021-06-29 17:49:22.809352",25.2,68.7,15.1,43.2,0,3979698176,3276980224,577167360,17.7,61898752,633024512,104853504,104853504,0,0,15379681280,12247457792,2455486464,83.3,264289280,30773248,233516032,11.6,588569088,69559296,15.0142552495003,"EDGE","CNN","32",0.1
17,4.2,"2021-06-29 17:50:22.880919",19.1,98.1,14.6,19.6,50,3979698176,3274997760,578097152,17.7,61997056,634081280,104853504,104853504,0,0,15379681280,12247494656,2455449600,83.3,264289280,30773248,233516032,11.6,588569088,69858304,16.0154480338097,"EDGE","CNN","32",0.1
18,4.2,"2021-06-29 17:51:22.953942",13.7,76.1,42,20.1,50,3979698176,3271376896,582758400,17.8,62087168,633077760,104853504,104853504,0,0,15379681280,12247535616,2455408640,83.3,264289280,30773248,233516032,11.6,588569088,70198272,17.0166650851568,"EDGE","CNN","32",0.1
19,4.2,"2021-06-29 17:52:23.018239",25.7,52,10.9,63,50,3979698176,3268153344,584937472,17.9,62185472,634155008,104853504,104853504,0,0,15379681280,12247572480,2455371776,83.3,264289280,30773248,233516032,11.6,588569088,70513664,18.0177367011706,"EDGE","CNN","32",0.1
20,4.2,"2021-06-29 17:53:23.090869",67.5,47.7,17,16.5,50,3979698176,3265970176,588173312,17.9,62283776,633143296,104853504,104853504,0,0,15379681280,12247613440,2455330816,83.3,264289280,30773248,233516032,11.6,588569088,70923264,19.0189471999804,"EDGE","CNN","32",0.1
21,4.2,"2021-06-29 17:54:23.161750",17.2,94.9,26.6,13.4,0,3979698176,3264094208,589889536,18,62373888,633348096,104853504,104853504,0,0,15379681280,12247650304,2455293952,83.3,264289280,30773248,233516032,11.6,588569088,71197696,20.0201285521189,"EDGE","CNN","32",0.1
22,4.2,"2021-06-29 17:55:23.229535",21.8,98.6,12.6,18.9,66.7,3979698176,3262234624,590848000,18,62472192,634277888,104853504,104853504,0,0,15379681280,12247678976,2455265280,83.3,264289280,30773248,233516032,11.6,588569088,71525376,21.0212583025297,"EDGE","CNN","32",0.1
23,4.1,"2021-06-29 17:56:23.277528",35.7,75.3,23.3,17.2,50,3979698176,3260088320,594018304,18.1,62562304,633298944,104853504,104853504,0,0,15379681280,12247715840,2455228416,83.3,264289280,30773248,233516032,11.6,588569088,71808000,22.0220581849416,"EDGE","CNN","32",0.1
24,4.1,"2021-06-29 17:57:23.352773",41.4,54.6,22.2,32.1,66.7,3979698176,3256545280,596631552,18.2,62660608,634286080,104853504,104853504,0,0,15379681280,12247752704,2455191552,83.3,264289280,30773248,233516032,11.6,588569088,72221696,23.0233122666677,"EDGE","CNN","32",0.1
25,4.2,"2021-06-29 17:58:23.421547",48.4,60.6,26.1,15.2,50,3979698176,3252404224,601661440,18.3,62750720,633466880,104853504,104853504,0,0,15379681280,12247785472,2455158784,83.3,264289280,30773248,233516032,11.6,588569088,72659968,24.0244584997495,"EDGE","CNN","32",0.1
26,4.1,"2021-06-29 17:59:23.441198",18.5,92.5,20.9,19.9,66.7,3979698176,3250442240,602578944,18.3,62849024,634540032,104853504,104853504,0,0,15379681280,12247822336,2455121920,83.3,264289280,30773248,233516032,11.6,588569088,72971264,25.0247860193253,"EDGE","CNN","32",0.1
27,4.2,"2021-06-29 18:00:23.514375",22.9,95.5,12.2,21,66.7,3979698176,3249033216,605036544,18.4,62939136,633503744,104853504,104853504,0,0,15379681280,12247859200,2455085056,83.3,264289280,30773248,233516032,11.6,588569088,73282560,26.0260056336721,"EDGE","CNN","32",0.1
28,4.2,"2021-06-29 18:01:23.587810",22.2,51.2,59.5,17.9,60,3979698176,3245481984,607526912,18.4,63037440,634621952,104853504,104853504,0,0,15379681280,12247904256,2455040000,83.3,264289280,30773248,233516032,11.6,588569088,73597952,27.0272295514743,"EDGE","CNN","32",0.1
29,4.2,"2021-06-29 18:02:23.603402",13.9,18.4,98.2,18.4,100,3979698176,3243274240,610779136,18.5,63127552,633602048,104853504,104853504,0,0,15379681280,12247941120,2455003136,83.3,264289280,30773248,233516032,11.6,588569088,73905152,28.0274894158045,"EDGE","CNN","32",0.1
30,4.2,"2021-06-29 18:03:23.653820",18.4,98.4,16.9,17.7,50,3979698176,3240615936,612401152,18.6,63225856,634675200,104853504,104853504,0,0,15379681280,12247969792,2454974464,83.3,264289280,30773248,233516032,11.6,588569088,74187776,29.0283297181129,"EDGE","CNN","32",0.1
31,4.2,"2021-06-29 18:04:23.728236",24.6,68.6,13.5,45.4,66.7,3979698176,3239440384,613576704,18.6,63315968,634712064,104853504,104853504,0,0,15379681280,12248006656,2454937600,83.3,264289280,30773248,233516032,11.6,588569088,74503168,30.0295699834824,"EDGE","CNN","32",0.1
32,4.2,"2021-06-29 18:05:23.799430",22.7,7.7,23.8,98.6,33.3,3979698176,3238924288,615133184,18.6,63414272,633712640,104853504,104853504,0,0,15379681280,12248043520,2454900736,83.3,264289280,30773248,233516032,11.6,588569088,74822656,31.0307565490405,"EDGE","CNN","32",0.1
33,4.2,"2021-06-29 18:06:23.877616",27.2,63.4,20.4,40.4,66.7,3979698176,3238350848,615698432,18.6,63504384,633700352,104853504,104853504,0,0,15379681280,12248072192,2454872064,83.3,264289280,30773248,233516032,11.6,588569088,75158528,32.0320596496264,"EDGE","CNN","32",0.1
34,4.2,"2021-06-29 18:07:23.950660",16.6,55.7,52.6,23.8,100,3979698176,3239329792,614715392,18.6,63602688,633753600,104853504,104853504,0,0,15379681280,12248104960,2454839296,83.3,264289280,30773248,233516032,11.6,588569088,75461632,33.0332770506541,"EDGE","CNN","32",0.1
1,3.2,"2021-06-29 14:53:10.879509",2.5,3.8,19.7,2.1,60,3979698176,3366313984,494612480,15.4,48001024,623816704,104853504,104853504,0,0,15379681280,12245409792,2457534464,83.3,264289280,30773248,233516032,11.6,588569088,25809920,0,"EDGE","CNN","32",0.25
2,4.1,"2021-06-29 14:54:10.958715",1.7,2.5,2.7,1.9,50,3979698176,3361816576,499118080,15.5,48017408,623816704,104853504,104853504,0,0,15379681280,12245409792,2457534464,83.3,264289280,30773248,233516032,11.6,588569088,25850880,1.00132009983063,"EDGE","CNN","32",0.25
3,4.3,"2021-06-29 14:55:11.025515",12,15.9,76.9,18.5,0,3979698176,3327930368,527302656,16.4,48099328,629604352,104853504,104853504,0,0,15379681280,12245442560,2457501696,83.3,264289280,30773248,233516032,11.6,588569088,26141696,2.00243343512217,"EDGE","CNN","32",0.25
4,3.9,"2021-06-29 14:56:11.040803",27.7,22.9,69.5,14,0,3979698176,3329769472,525901824,16.3,48197632,629215232,104853504,104853504,0,0,15379681280,12245475328,2457468928,83.3,264289280,30773248,233516032,11.6,588569088,26469376,3.00268823305766,"EDGE","CNN","32",0.25
5,3.9,"2021-06-29 14:57:11.111550",28.2,23.8,16,13.7,50,3979698176,3329630208,525099008,16.3,48291840,630181888,104853504,104853504,0,0,15379681280,12245499904,2457444352,83.3,264289280,30773248,233516032,11.6,588569088,26711040,4.00386735200882,"EDGE","CNN","32",0.25
6,3.9,"2021-06-29 14:58:11.145003",26,21.4,18.4,15.8,50,3979698176,3328970752,526655488,16.4,48390144,629301248,104853504,104853504,0,0,15379681280,12245516288,2457427968,83.3,264289280,30773248,233516032,11.6,588569088,26973184,5.00442490180333,"EDGE","CNN","32",0.25
7,3.9,"2021-06-29 14:59:11.170045",27,21.7,14.7,19.5,100,3979698176,3327791104,526766080,16.4,48480256,630390784,104853504,104853504,0,0,15379681280,12245536768,2457407488,83.3,264289280,30773248,233516032,11.6,588569088,27202560,6.00484226544698,"EDGE","CNN","32",0.25
8,3.9,"2021-06-29 15:00:11.239147",21.5,23,18.5,18.9,50,3979698176,3328458752,527691776,16.4,48578560,628817920,104853504,104853504,0,0,15379681280,12245557248,2457387008,83.3,264289280,30773248,233516032,11.6,588569088,27468800,7.00599396626155,"EDGE","CNN","32",0.25
9,3.8,"2021-06-29 15:01:11.306057",22.2,19.3,18,23.3,66.7,3979698176,3329212416,526397440,16.3,48668672,629313536,104853504,104853504,0,0,15379681280,12245569536,2457374720,83.3,264289280,30773248,233516032,11.6,588569088,27804672,8.00710913340251,"EDGE","CNN","32",0.25
10,3.8,"2021-06-29 15:02:11.373764",25.6,19.8,15.9,21,50,3979698176,3328573440,526798848,16.4,48758784,629579776,104853504,104853504,0,0,15379681280,12245585920,2457358336,83.3,264289280,30773248,233516032,11.6,588569088,28197888,9.00823758443197,"EDGE","CNN","32",0.25
11,3.8,"2021-06-29 15:03:11.385667",22.7,17.4,16.9,20,50,3979698176,3327909888,526929920,16.4,48857088,630124544,104853504,104853504,0,0,15379681280,12245606400,2457337856,83.3,264289280,30773248,233516032,11.6,588569088,28541952,10.008435968558,"EDGE","CNN","32",0.25
12,3.9,"2021-06-29 15:04:11.455612",16.4,16.6,22.3,16.9,0,3979698176,3328262144,527630336,16.4,48947200,629108736,104853504,104853504,0,0,15379681280,12245630976,2457313280,83.3,264289280,30773248,233516032,11.6,588569088,28947456,11.0096017162005,"EDGE","CNN","32",0.25
13,3.9,"2021-06-29 15:05:11.525455",18.8,17.4,20.7,16.4,50,3979698176,3328593920,526753792,16.4,49045504,629661696,104853504,104853504,0,0,15379681280,12245647360,2457296896,83.3,264289280,30773248,233516032,11.6,588569088,29377536,12.0107657670975,"EDGE","CNN","32",0.25
14,3.9,"2021-06-29 15:06:11.542475",25.9,20.5,21.1,17.2,50,3979698176,3328638976,528207872,16.4,49135616,628191232,104853504,104853504,0,0,15379681280,12245667840,2457276416,83.3,264289280,30773248,233516032,11.6,588569088,29729792,13.0110494335492,"EDGE","CNN","32",0.25
15,3.8,"2021-06-29 15:07:11.561746",18.6,15.6,17.2,22.2,0,3979698176,3328888832,526909440,16.4,49225728,629260288,104853504,104853504,0,0,15379681280,12245684224,2457260032,83.3,264289280,30773248,233516032,11.6,588569088,29979648,14.0113706151644,"EDGE","CNN","32",0.25
16,3.9,"2021-06-29 15:08:11.617477",19.4,19.4,20.1,16.4,33.3,3979698176,3329007616,526790656,16.4,49324032,629280768,104853504,104853504,0,0,15379681280,12245704704,2457239552,83.3,264289280,30773248,233516032,11.6,588569088,30229504,15.0122994661331,"EDGE","CNN","32",0.25
17,3.8,"2021-06-29 15:09:11.664560",15.4,14.3,16.5,12.5,33.3,3979698176,3329396736,528666624,16.3,49414144,627023872,104853504,104853504,0,0,15379681280,12245712896,2457231360,83.3,264289280,30773248,233516032,11.6,588569088,30475264,16.0130841851234,"EDGE","CNN","32",0.25
18,3.8,"2021-06-29 15:10:11.733677",17.6,20.8,20.9,15,50,3979698176,3332833280,526315520,16.3,49504256,625963008,104853504,104853504,0,0,15379681280,12245737472,2457206784,83.3,264289280,30773248,233516032,11.6,588569088,30712832,17.0142361323039,"EDGE","CNN","32",0.25
19,3.8,"2021-06-29 15:11:11.802919",19.5,19,16.8,17.7,66.7,3979698176,3330813952,527228928,16.3,49594368,627089408,104853504,104853504,0,0,15379681280,12245753856,2457190400,83.3,264289280,30773248,233516032,11.6,588569088,30974976,18.0153901656469,"EDGE","CNN","32",0.25
