imageCounter,currentTime,meanNetworkDelay,meanResponseTime
1,2021-05-29 14:16:48.862261,3.1152732372283936,3.301736354827881
2,2021-05-29 14:16:48.891965,3.1122275590896606,3.2190507650375366
3,2021-05-29 14:16:49.114504,3.1124754746754966,3.193073272705078
4,2021-05-29 14:16:49.308613,3.113083600997925,3.1804049611091614
5,2021-05-29 14:16:49.510399,3.113050079345703,3.1723117351531984
6,2021-05-29 14:16:49.713049,3.1148184140523276,3.1687811613082886
7,2021-05-29 14:16:49.933199,3.1150901998792375,3.1653527872903005
8,2021-05-29 14:16:50.143111,3.1140748858451843,3.1620347797870636
9,2021-05-29 14:16:50.341818,3.113266282611423,3.158923970328437
10,2021-05-29 14:16:50.546097,3.112778925895691,3.156517267227173
11,2021-05-29 14:16:50.778997,3.113751996647228,3.155995390631936
12,2021-05-29 14:16:50.994302,3.115057090918223,3.156110187371572
13,2021-05-29 14:16:51.174954,3.115278170658992,3.155258893966675
14,2021-05-29 14:16:51.390354,3.1149605001722063,3.1540625946862355
15,2021-05-29 14:16:51.593878,3.114897362391154,3.153309933344523
16,2021-05-29 14:16:51.790273,3.114760145545006,3.152544230222702
17,2021-05-29 14:16:51.978126,3.1142743475296917,3.1515285267549404
18,2021-05-29 14:16:52.187317,3.1144865486356945,3.151673528883192
19,2021-05-29 14:16:52.368222,3.1145932925374886,3.1512561597322164
20,2021-05-29 14:16:52.583371,3.1146859169006347,3.1508999109268188
21,2021-05-29 14:16:52.797668,3.114623546600342,3.150398685818627
22,2021-05-29 14:16:53.012986,3.1143944588574497,3.149823481386358
23,2021-05-29 14:16:53.196747,3.1139790078868037,3.149134812147721
24,2021-05-29 14:16:53.423036,3.1143155892690024,3.1491640309492746
25,2021-05-29 14:16:53.607434,3.1143820762634276,3.148937873840332
26,2021-05-29 14:16:53.816186,3.114347815513611,3.1486530120556173
27,2021-05-29 14:16:54.018424,3.1144616780457675,3.1485881452207214
28,2021-05-29 14:16:54.196094,3.1138412867273604,3.1479831082480296
29,2021-05-29 14:16:54.422113,3.1149011151543977,3.148800619717302
30,2021-05-29 14:16:54.628939,3.1153087615966797,3.148965366681417
31,2021-05-29 14:16:54.827113,3.115319275086926,3.1487270016824045
32,2021-05-29 14:16:55.076424,3.1153115704655647,3.148540161550045
33,2021-05-29 14:16:55.277676,3.1150714989864463,3.148107745430686
34,2021-05-29 14:16:55.470466,3.1149619537241318,3.1478532973457787
35,2021-05-29 14:16:55.651736,3.114704840523856,3.147447872161865
36,2021-05-29 14:16:55.844326,3.1145750416649713,3.147163470586141
37,2021-05-29 14:16:56.063588,3.1145110065872603,3.1469359848950362
38,2021-05-29 14:16:56.252432,3.114275286072179,3.14674058713411
39,2021-05-29 14:16:56.465864,3.1142338116963706,3.1465897743518534
40,2021-05-29 14:16:56.660820,3.1139397799968718,3.146171098947525
41,2021-05-29 14:16:56.879454,3.1139180485795186,3.1460286291634163
42,2021-05-29 14:16:57.108263,3.1143965891429355,3.146397766612825
43,2021-05-29 14:16:57.305215,3.114730258320653,3.1466275924860043
44,2021-05-29 14:16:57.504932,3.115154428915544,3.14696190032092
45,2021-05-29 14:16:57.718564,3.115673711564806,3.1473848077985975
46,2021-05-29 14:16:57.897629,3.11570025526959,3.147333456122357
47,2021-05-29 14:16:58.144799,3.1159520555049816,3.147503528189152
48,2021-05-29 14:16:58.351033,3.115877782305082,3.1474640717109046
49,2021-05-29 14:16:58.640885,3.1157904255146884,3.149106507398644
50,2021-05-29 14:16:58.746272,3.115747694969177,3.1489518880844116
51,2021-05-29 14:16:58.958590,3.1157454743104824,3.1488368744943656
52,2021-05-29 14:16:59.157921,3.115853162912222,3.1488371812380276
53,2021-05-29 14:16:59.351900,3.115984997659359,3.148873410134945
54,2021-05-29 14:16:59.542002,3.1160159464235657,3.148782385720147
55,2021-05-29 14:16:59.757678,3.1159975745461206,3.148643905466253
56,2021-05-29 14:16:59.971175,3.1158998012542725,3.1484623551368713
57,2021-05-29 14:17:00.172316,3.1156117037722937,3.148090303989879
58,2021-05-29 14:17:00.388450,3.115540989514055,3.147919338324974
59,2021-05-29 14:17:00.603438,3.1157643310094283,3.1481485245591503
60,2021-05-29 14:17:00.795055,3.1158929387728374,3.1481760422388714
61,2021-05-29 14:17:01.288772,3.1205215063251432,3.152746169293513
62,2021-05-29 14:17:01.553282,3.126149962025304,3.1582982040220693
63,2021-05-29 14:17:01.731080,3.131017079429021,3.1631075503334167
64,2021-05-29 14:17:01.989589,3.1323451101779938,3.16439076885581
65,2021-05-29 14:17:02.181402,3.132723320447482,3.16469998726478
66,2021-05-29 14:17:02.425602,3.1337432247219663,3.1656574950073706
67,2021-05-29 14:17:02.623799,3.1341804888711047,3.1660333000012297
68,2021-05-29 14:17:02.863414,3.135297210777507,3.167085142696605
69,2021-05-29 14:17:03.054936,3.1357103257939434,3.167518705561541
70,2021-05-29 14:17:03.242501,3.135817793437413,3.167563785825457
71,2021-05-29 14:17:03.512784,3.1364015156114604,3.1680909143367284
72,2021-05-29 14:17:03.697290,3.1365494661860995,3.1681810518105826
73,2021-05-29 14:17:03.880160,3.136534710452981,3.1681035577434384
74,2021-05-29 14:17:04.177312,3.1374788542051575,3.1689905991425387
75,2021-05-29 14:17:04.356173,3.1378508377075196,3.169307165145874
76,2021-05-29 14:17:04.618688,3.1389081917311015,3.1703077240994104
77,2021-05-29 14:17:04.792750,3.1395695054685913,3.170921266853035
78,2021-05-29 14:17:05.003764,3.1401877067027946,3.171493872618064
79,2021-05-29 14:17:05.194801,3.1401187317280828,3.171447563774978
80,2021-05-29 14:17:05.496476,3.141024550795555,3.1723132342100144
81,2021-05-29 14:17:05.695021,3.141906432163568,3.1731521317988265
82,2021-05-29 14:17:05.946325,3.1434796379833685,3.1746723593735116
83,2021-05-29 14:17:06.123596,3.144012502877109,3.1751610543354447
84,2021-05-29 14:17:06.388918,3.1452697770936147,3.176381539730799
85,2021-05-29 14:17:06.572416,3.1453129403731404,3.176392816094791
86,2021-05-29 14:17:06.830803,3.1456626154655636,3.176699255788049
87,2021-05-29 14:17:07.013676,3.145863960529196,3.176872393180584
88,2021-05-29 14:17:07.195125,3.145680945027958,3.176640518686988
89,2021-05-29 14:17:07.383040,3.1451951278729386,3.1761990236432367
90,2021-05-29 14:17:07.601775,3.1447464068730673,3.175723009639316
91,2021-05-29 14:17:07.818680,3.144252664440281,3.175191813772851
92,2021-05-29 14:17:08.048758,3.1438965616018875,3.1747931319734324
93,2021-05-29 14:17:08.233720,3.1434545363149335,3.174328565597534
94,2021-05-29 14:17:08.465396,3.1434622774732874,3.1743087312008473
95,2021-05-29 14:17:08.676893,3.143166238383243,3.1739805874071623
96,2021-05-29 14:17:09.014222,3.143696814775467,3.1744976763923964
