"Tempo","Watt"
"44376.61328848","4.10"
"44376.61398293","4.10"
"44376.61467737","4.40"
"44376.61537182","4.30"
"44376.61606626","4.30"
"44376.61676071","4.40"
"44376.61745515","4.20"
"44376.61814959","4.30"
"44376.61884404","4.30"
"44376.61953848","4.30"
"44376.62023293","4.30"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
