"Tempo","Watt"
"44376.61120515","4.70"
"44376.61189959","4.10"
"44376.61259404","4.40"
"44376.61328848","4.50"
"44376.61398293","4.60"
"44376.61467737","4.70"
"44376.61537182","4.60"
"44376.61606626","4.50"
"44376.61676071","4.30"
"44376.61745515","3.90"
"44376.61814959","3.70"
"44376.61884404","3.70"
"44376.61953848","3.70"
"44376.62023293","3.40"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
