imageCounter,currentTime,meanNetworkDelay,meanResponseTime,classificationTime
1,2021-09-13 20:03:26.147056,1.841315746307373,2.0751283168792725,2.0751283168792725
2,2021-09-13 20:03:27.002379,1.8493824005126953,1.9951057434082031,1.9150831699371338
3,2021-09-13 20:03:27.723292,1.7605164051055908,1.8766425450642903,1.6397161483764648
4,2021-09-13 20:03:28.849357,1.7374611496925354,1.8392704129219055,1.727154016494751
5,2021-09-13 20:03:29.572928,1.6621421337127686,1.756018877029419,1.4230127334594727
6,2021-09-13 20:03:30.462368,1.5866471529006958,1.6745271285374959,1.2670683860778809
7,2021-09-13 20:03:31.832982,1.5709292548043388,1.6541363171168737,1.5317914485931396
8,2021-09-13 20:03:32.649848,1.5701082944869995,1.6501392424106598,1.622159719467163
9,2021-09-13 20:03:33.880904,1.571216556761,1.6489722728729248,1.639636516571045
10,2021-09-13 20:03:34.898231,1.5490341424942016,1.624845314025879,1.4077026844024658
11,2021-09-13 20:03:36.307934,1.571816856210882,1.6459540237079968,1.8570411205291748
12,2021-09-13 20:03:36.986083,1.5322643121083577,1.6050224502881367,1.1547751426696777
13,2021-09-13 20:03:38.376752,1.5270623793968787,1.598284464616042,1.5174286365509033
14,2021-09-13 20:03:39.278670,1.5047340563365392,1.5752015454428536,1.2751235961914062
15,2021-09-13 20:03:40.828203,1.514660104115804,1.5842189153035482,1.7104620933532715
16,2021-09-13 20:03:41.342445,1.5102631151676178,1.578827366232872,1.4979541301727295
17,2021-09-13 20:03:42.223840,1.492867063073551,1.560701286091524,1.270684003829956
18,2021-09-13 20:03:43.796636,1.502432280116611,1.5698244704140558,1.7249186038970947
19,2021-09-13 20:03:44.614342,1.5180722286826687,1.5847770540337813,1.8539235591888428
20,2021-09-13 20:03:45.437538,1.5149255275726319,1.5809742569923402,1.508721113204956
21,2021-09-13 20:03:46.266359,1.5121225175403414,1.5780028388613747,1.5185744762420654
22,2021-09-13 20:03:47.280648,1.505407073281028,1.570739128372886,1.418201208114624
23,2021-09-13 20:03:48.103559,1.5027047551196555,1.5675814255424168,1.4981119632720947
24,2021-09-13 20:03:49.136394,1.4964551031589508,1.56138609846433,1.418893575668335
25,2021-09-13 20:03:50.010378,1.48478289604187,1.5493667507171631,1.2609024047851562
26,2021-09-13 20:03:51.578083,1.4916757620297945,1.5559753546347985,1.7211904525756836
27,2021-09-13 20:03:52.400573,1.4906132132918746,1.554645229268957,1.52006196975708
