imageCounter,currentTime,meanNetworkDelay,meanResponseTime,classificationTime
1,2021-08-26 20:30:20.368810,0.8780026435852051,0.9109265804290771,0.9109265804290771
2,2021-08-26 20:30:20.538949,0.6039316654205322,0.6370366811752319,0.3631467819213867
3,2021-08-26 20:30:21.245320,0.5090377330780029,0.5421414375305176,0.35235095024108887
4,2021-08-26 20:30:21.983169,0.46628373861312866,0.4994121789932251,0.37122440338134766
5,2021-08-26 20:30:22.715463,0.44373250007629395,0.4763783931732178,0.3842432498931885
6,2021-08-26 20:30:23.412463,0.4236264228820801,0.4563426971435547,0.35616421699523926
7,2021-08-26 20:30:24.173369,0.4148937293461391,0.4474880354745047,0.3943600654602051
8,2021-08-26 20:30:24.902486,0.40414461493492126,0.43664872646331787,0.36077356338500977
9,2021-08-26 20:30:25.626247,0.3952198293473985,0.4275970458984375,0.35518360137939453
10,2021-08-26 20:30:26.384585,0.3921860933303833,0.4244523048400879,0.3961496353149414
11,2021-08-26 20:30:27.060454,0.38605507937344635,0.4181352745402943,0.3549649715423584
12,2021-08-26 20:30:27.806704,0.38282106320063275,0.4148104190826416,0.3782370090484619
13,2021-08-26 20:30:28.551279,0.38161853643564075,0.41358408561119664,0.3988680839538574
14,2021-08-26 20:30:29.225572,0.377375738961356,0.4092853920800345,0.35340237617492676
15,2021-08-26 20:30:29.941961,0.3734179814656576,0.4053347587585449,0.35002589225769043
16,2021-08-26 20:30:30.665109,0.37023068964481354,0.4021063894033432,0.3536808490753174
17,2021-08-26 20:30:31.376813,0.36683450025670666,0.3986983579747817,0.34416985511779785
18,2021-08-26 20:30:32.100365,0.3641709354188707,0.39601993560791016,0.35048675537109375
19,2021-08-26 20:30:32.819692,0.3618253155758506,0.39366049515573603,0.35119056701660156
20,2021-08-26 20:30:33.594203,0.3623214602470398,0.3941540837287903,0.4035322666168213
21,2021-08-26 20:30:34.258546,0.3602242356254941,0.3920276846204485,0.3494997024536133
22,2021-08-26 20:30:34.991706,0.3588988889347423,0.3907488259402188,0.3638927936553955
23,2021-08-26 20:30:35.708993,0.35710759784864343,0.38893164759096893,0.3489537239074707
24,2021-08-26 20:30:36.453315,0.3564656277497609,0.38826193412144977,0.37285852432250977
25,2021-08-26 20:30:37.141983,0.3547935390472412,0.3865805435180664,0.34622716903686523
26,2021-08-26 20:30:37.861174,0.35337517811701846,0.38515047843639666,0.3493988513946533
27,2021-08-26 20:30:38.582327,0.35205297116880063,0.3838248782687717,0.34935927391052246
28,2021-08-26 20:30:39.301446,0.3508829815047128,0.382649370602199,0.35091066360473633
29,2021-08-26 20:30:40.038001,0.35007263874185496,0.38204970853082065,0.36525917053222656
30,2021-08-26 20:30:40.752650,0.34909735520680746,0.3810522397359212,0.3521256446838379
31,2021-08-26 20:30:41.481651,0.34832923643050656,0.3802512614957748,0.35622191429138184
32,2021-08-26 20:30:42.223115,0.3481138348579407,0.3800060674548149,0.3724050521850586
33,2021-08-26 20:30:42.978575,0.3481828227187648,0.38011532841306744,0.38361167907714844
34,2021-08-26 20:30:43.690452,0.34799223086413217,0.37996577515321617,0.375030517578125
35,2021-08-26 20:30:44.383021,0.3470635141645159,0.3790591035570417,0.3482322692871094
36,2021-08-26 20:30:45.104490,0.3462948799133301,0.378250863817003,0.3499624729156494
37,2021-08-26 20:30:45.824315,0.3455484171171446,0.3774945607056489,0.3502676486968994
38,2021-08-26 20:30:46.573346,0.34538488011611135,0.37731245316957174,0.3705744743347168
39,2021-08-26 20:30:47.295638,0.3453031014173459,0.377212249315702,0.37340450286865234
40,2021-08-26 20:30:47.989197,0.3445951282978058,0.3765062212944031,0.3489711284637451
41,2021-08-26 20:30:48.707795,0.343948591046217,0.3758340463405702,0.34894704818725586
42,2021-08-26 20:30:49.426795,0.34335934548150926,0.37522690636771067,0.35033416748046875
43,2021-08-26 20:30:50.152344,0.3428715661514637,0.37474264655002326,0.3544037342071533
44,2021-08-26 20:30:50.867779,0.342334584756331,0.37418204004114325,0.35007596015930176
45,2021-08-26 20:30:51.588426,0.3418672455681695,0.37370301882425944,0.35262608528137207
46,2021-08-26 20:30:52.311015,0.34145193514616595,0.37326808597730554,0.3536961078643799
47,2021-08-26 20:30:53.025826,0.34089823986621615,0.3727418564735575,0.34853529930114746
48,2021-08-26 20:30:53.752338,0.34062189360459644,0.3724437703688939,0.35843372344970703
49,2021-08-26 20:30:54.464770,0.34017632445510554,0.3719829053294902,0.34986138343811035
50,2021-08-26 20:30:55.185304,0.33975685596466065,0.37154966354370117,0.35032081604003906
51,2021-08-26 20:30:55.904544,0.3393123383615531,0.37111081796533923,0.3491685390472412
52,2021-08-26 20:30:56.621861,0.3388804564109215,0.37066362454341006,0.3478567600250244
53,2021-08-26 20:30:57.344864,0.3385069820116151,0.3702820516982169,0.35044026374816895
54,2021-08-26 20:30:58.066154,0.33820178773668075,0.3699568819116663,0.3527228832244873
55,2021-08-26 20:30:58.817265,0.3384159348227761,0.3701676195318049,0.3815474510192871
56,2021-08-26 20:30:59.501186,0.33807177203042166,0.3698083588055202,0.3500490188598633
57,2021-08-26 20:31:00.216458,0.3376954940327427,0.3694315416771069,0.3483297824859619
58,2021-08-26 20:31:00.939018,0.3374019614581404,0.36912178582158583,0.35146570205688477
59,2021-08-26 20:31:01.653925,0.33705593771853687,0.36877583649198886,0.3487107753753662
60,2021-08-26 20:31:02.382466,0.3367966969807943,0.36852476199467976,0.3537113666534424
