imageCounter,currentTime,meanNetworkDelay,meanResponseTime,classificationTime
1,2021-08-26 17:51:53.699510,1.0658371448516846,1.1025512218475342,1.1025512218475342
2,2021-08-26 17:51:54.341532,0.903127908706665,0.9381704330444336,0.773789644241333
3,2021-08-26 17:51:55.332699,0.8574489752451578,0.8922452926635742,0.8003950119018555
4,2021-08-26 17:51:56.289829,0.8345097899436951,0.8686245083808899,0.7977621555328369
5,2021-08-26 17:51:57.363331,0.8418439388275146,0.8758784770965576,0.9048943519592285
6,2021-08-26 17:51:58.448476,0.8461296955744425,0.8798588116963705,0.8997604846954346
7,2021-08-26 17:51:59.422563,0.8365071841648647,0.8700477055140904,0.8111810684204102
8,2021-08-26 17:52:00.463392,0.8391286432743073,0.8724024593830109,0.8888857364654541
9,2021-08-26 17:52:01.377582,0.8342043823666043,0.8675444391038682,0.8286802768707275
10,2021-08-26 17:52:02.438551,0.8386578559875488,0.8723386764526367,0.9154868125915527
11,2021-08-26 17:52:03.434626,0.8336326859214089,0.8671497865156694,0.8152608871459961
12,2021-08-26 17:52:04.426800,0.8281927903493246,0.8616299827893575,0.8009121417999268
13,2021-08-26 17:52:05.467032,0.8297496942373422,0.8630216671870306,0.8797218799591064
14,2021-08-26 17:52:06.435256,0.8297674826213292,0.8628772667476109,0.8610000610351562
15,2021-08-26 17:52:07.419014,0.8305706024169922,0.8637604872385661,0.8761255741119385
16,2021-08-26 17:52:08.334640,0.8253207057714462,0.8585647791624069,0.7806291580200195
17,2021-08-26 17:52:09.311218,0.8214104596306296,0.8546821089351878,0.7925593852996826
18,2021-08-26 17:52:10.394579,0.8243055740992228,0.8579120371076796,0.9128208160400391
19,2021-08-26 17:52:11.306199,0.8216305782920436,0.8551820955778423,0.8060431480407715
20,2021-08-26 17:52:12.436306,0.8274996519088745,0.8609640598297119,0.9708213806152344
21,2021-08-26 17:52:13.332232,0.8246329398382277,0.8580034119742257,0.798790454864502
22,2021-08-26 17:52:14.316164,0.8224115046587858,0.8559411764144897,0.8126342296600342
23,2021-08-26 17:52:15.243582,0.8188620339269224,0.8523254083550494,0.7727785110473633
24,2021-08-26 17:52:16.289650,0.8189244965712229,0.8523240288098654,0.8522922992706299
25,2021-08-26 17:52:17.292901,0.8197127723693848,0.8530320358276368,0.8700242042541504
26,2021-08-26 17:52:18.278929,0.8188414023472712,0.8520898360472459,0.8285348415374756
27,2021-08-26 17:52:19.270985,0.8169673372198034,0.85013982101723,0.7994394302368164
28,2021-08-26 17:52:20.322175,0.818224813256945,0.8514227867126465,0.8860628604888916
29,2021-08-26 17:52:21.192762,0.815515477081825,0.8487007042457317,0.7724823951721191
