"currentTime","totalCpuUsage...","totalMemory","availableMemory","usedMemory","percentageMemory...","buffersMemory","cachedMemory","totalSwap","freeSwap","usedSwap","percentageSwap...","totalPartition","usedPartition","freePartition","percentagePartition...","total_IO_read","total_IO_write","Time"
"2021-08-26 16:26:04.728560",0,8345075712,7022309376,1004306432,15.9,0,0,0,0,83067539456,20745302016,62305460224,25,3829300224,18340602880,NA,NA,0
"2021-08-26 16:27:04.791525",0,8345075712,7021547520,1005068288,15.9,0,0,0,0,83067539456,20745310208,62305452032,25,3829300224,18340901888,NA,NA,1.00104941527049
"2021-08-26 16:28:04.818913",0,8345075712,7021563904,1005051904,15.9,0,0,0,0,83067539456,20745322496,62305439744,25,3829300224,18341102592,NA,NA,2.00150588353475
"2021-08-26 16:29:04.850943",0,8345075712,7021576192,1005039616,15.9,0,0,0,0,83067539456,20745330688,62305431552,25,3829300224,18341286912,NA,NA,3.00203971862793
"2021-08-26 16:30:04.913868",0,8345075712,7021555712,1005060096,15.9,0,0,0,0,83067539456,20745342976,62305419264,25,3829300224,18341499904,NA,NA,4.0030884663264
"2021-08-26 16:31:04.977565",50,8345075712,7020539904,1006075904,15.9,0,0,0,0,83067539456,20745363456,62305398784,25,3829300224,18341741568,NA,NA,5.00415008465449
"2021-08-26 16:32:04.992285",100,8345075712,7020326912,1006288896,15.9,0,0,0,0,83067539456,20745371648,62305390592,25,3829300224,18342147072,NA,NA,6.00439541737239
"2021-08-26 16:33:05.055879",0,8345075712,7020339200,1006276608,15.9,0,0,0,0,83067539456,20745383936,62305378304,25,3829300224,18342355968,NA,NA,7.00545531908671
"2021-08-26 16:34:05.118086",0,8345075712,7020314624,1006297088,15.9,0,0,0,0,83067539456,20745396224,62305366016,25,3829300224,18342544384,NA,NA,8.00649210214615
"2021-08-26 16:35:05.181090",0,8345075712,7020363776,1006252032,15.9,0,0,0,0,83067539456,20745404416,62305357824,25,3829300224,18342749184,NA,NA,9.00754216909409
"2021-08-26 16:36:05.206972",0,8345075712,7020351488,1006264320,15.9,0,0,0,0,83067539456,20745416704,62305345536,25,3829300224,18342953984,NA,NA,10.007973531882
"2021-08-26 16:37:05.270835",0,8345075712,7020392448,1006219264,15.9,0,0,0,0,83067539456,20745428992,62305333248,25,3829300224,18343158784,NA,NA,11.0090379158656
"2021-08-26 16:38:05.298935",0,8345075712,7020371968,1006243840,15.9,0,0,0,0,83067539456,20745437184,62305325056,25,3829300224,18343359488,NA,NA,12.0095062494278
"2021-08-26 16:39:05.361823",0,8345075712,7020417024,1006198784,15.9,0,0,0,0,83067539456,20745449472,62305312768,25,3829300224,18343572480,NA,NA,13.0105543851852
"2021-08-26 16:40:05.424877",0,8345075712,7020691456,1005924352,15.9,0,0,0,0,83067539456,20745465856,62305296384,25,3829300224,18344313856,NA,NA,14.0116052826246
"2021-08-26 16:41:05.442976",0,8345075712,7020699648,1005916160,15.9,0,0,0,0,83067539456,20745474048,62305288192,25,3829300224,18344522752,NA,NA,15.0119069337845
"2021-08-26 16:42:05.508353",50,8345075712,7020679168,1005936640,15.9,0,0,0,0,83067539456,20745486336,62305275904,25,3829300224,18344707072,NA,NA,16.0129965504011
"2021-08-26 16:43:05.571896",0,8345075712,7020724224,1005891584,15.9,0,0,0,0,83067539456,20745498624,62305263616,25,3829300224,18344915968,NA,NA,17.0140556017558
"2021-08-26 16:44:05.594663",0,8345075712,7020732416,1005879296,15.9,0,0,0,0,83067539456,20745510912,62305251328,25,3829300224,18345124864,NA,NA,18.0144350488981
"2021-08-26 16:45:05.654774",0,8345075712,7020711936,1005903872,15.9,0,0,0,0,83067539456,20745519104,62305243136,25,3829300224,18345333760,NA,NA,19.015436899662
"2021-08-26 16:46:05.714925",100,8345075712,7020793856,1005821952,15.9,0,0,0,0,83067539456,20745531392,62305230848,25,3829300224,18345534464,NA,NA,20.016439417998
"2021-08-26 16:47:05.780631",100,8345075712,7020740608,1005875200,15.9,0,0,0,0,83067539456,20745543680,62305218560,25,3829300224,18345743360,NA,NA,21.0175345182419
"2021-08-26 16:48:05.842807",0,8345075712,7020748800,1005862912,15.9,0,0,0,0,83067539456,20745555968,62305206272,25,3829300224,18345923584,NA,NA,22.0185707847277
"2021-08-26 16:49:05.905759",0,8345075712,7020691456,1005924352,15.9,0,0,0,0,83067539456,20745584640,62305177600,25,3829300224,18347455488,NA,NA,23.0196199854215
"2021-08-26 16:50:05.962996",0,8345075712,7020703744,1005912064,15.9,0,0,0,0,83067539456,20745596928,62305165312,25,3829300224,18347910144,NA,NA,24.0205739339193
"2021-08-26 16:51:05.969519",100,8345075712,7020654592,1005961216,15.9,0,0,0,0,83067539456,20745609216,62305153024,25,3829300224,18348106752,NA,NA,25.0206826488177
"2021-08-26 16:52:05.977436",0,8345075712,7020695552,1005920256,15.9,0,0,0,0,83067539456,20745617408,62305144832,25,3829300224,18348319744,NA,NA,26.0208146015803
"2021-08-26 16:53:06.041291",100,8345075712,7020711936,1005903872,15.9,0,0,0,0,83067539456,20745633792,62305128448,25,3829300224,18348532736,NA,NA,27.0218788504601
"2021-08-26 16:54:06.104355",0,8345075712,7020756992,1005858816,15.9,0,0,0,0,83067539456,20745646080,62305116160,25,3829300224,18348749824,NA,NA,28.022929918766
"2021-08-26 16:55:06.168129",0,8345075712,7020769280,1005846528,15.9,0,0,0,0,83067539456,20745658368,62305103872,25,3829300224,18348958720,NA,NA,29.0239928166072
"2021-08-26 16:56:06.175058",0,8345075712,7020777472,1005838336,15.9,0,0,0,0,83067539456,20745666560,62305095680,25,3829300224,18349175808,NA,NA,30.0241082986196
"2021-08-26 16:57:06.238204",0,8345075712,7020756992,1005858816,15.9,0,0,0,0,83067539456,20745678848,62305083392,25,3829300224,18349372416,NA,NA,31.0251607338587
"2021-08-26 16:58:06.301832",0,8345075712,7020802048,1005813760,15.9,0,0,0,0,83067539456,20745691136,62305071104,25,3829300224,18349569024,NA,NA,32.0262211998304
"2021-08-26 16:59:06.364840",100,8345075712,7020781568,1005834240,15.9,0,0,0,0,83067539456,20745703424,62305058816,25,3829300224,18349773824,NA,NA,33.0272713343302
"2021-08-26 17:00:06.427903",100,8345075712,7020789760,1005826048,15.9,0,0,0,0,83067539456,20745711616,62305050624,25,3829300224,18349958144,NA,NA,34.028322382768
"2021-08-26 17:01:06.490968",0,8345075712,7829831680,196784128,6.2,0,0,0,0,83067539456,20745723904,62305038336,25,3829300224,18350154752,NA,NA,35.0293734669685
