"Id","Watt","currentTime","core0Usage...","core1Usage...","core2Usage...","core3Usage...","totalCpuUsage...","totalMemory","availableMemory","usedMemory","percentageMemory...","buffersMemory","cachedMemory","totalSwap","freeSwap","usedSwap","percentageSwap...","totalExt4Partition","usedExt4Partition","freeExt4Partition","percentageExt4Partition...","totalBootPartition","usedBootPartition","freeBootPartition","percentageBootPartition...","total_IO_read","total_IO_write","Time","Platform","Algorithm","Size","Workload"
18,4.3,"2021-07-08 18:20:54.008470",31.4,34.6,35.5,34.5,50,3979698176,2684899328,1173409792,32.5,77160448,1207496704,104853504,104853504,0,0,15379681280,10904453120,3798491136,74.2,264289280,30773248,233516032,11.6,1202379264,112034816,17.018464366595,"EDGE","CNN","128",0.1
19,4.3,"2021-07-08 18:21:54.079246",34.7,36,35.4,32.2,50,3979698176,2694819840,1160351744,32.3,77160448,1210638336,104853504,104853504,0,0,15379681280,10904457216,3798487040,74.2,264289280,30773248,233516032,11.6,1202379264,112346112,18.0196439663569,"EDGE","CNN","128",0.1
20,4.2,"2021-07-08 18:22:54.165375",36.8,35.2,37.5,31.9,75,3979698176,2686046208,1167552512,32.5,77160448,1212227584,104853504,104853504,0,0,15379681280,10904473600,3798470656,74.2,264289280,30773248,233516032,11.6,1202379264,112583680,19.0210794488589,"EDGE","CNN","128",0.1
21,4.3,"2021-07-08 18:23:54.232356",36.4,37.1,35.4,32.3,66.7,3979698176,2686013440,1168633856,32.5,77160448,1211256832,104853504,104853504,0,0,15379681280,10904494080,3798450176,74.2,264289280,30773248,233516032,11.6,1202379264,112821248,20.0221958001455,"EDGE","CNN","128",0.1
22,4.3,"2021-07-08 18:24:54.315756",36.6,34.8,37.1,32.7,100,3979698176,2696671232,1156923392,32.2,77160448,1212268544,104853504,104853504,0,0,15379681280,10904510464,3798433792,74.2,264289280,30773248,233516032,11.6,1202379264,113124352,21.0235858003298,"EDGE","CNN","128",0.1
23,4.3,"2021-07-08 18:25:54.386856",35.4,32.5,37.4,31.9,0,3979698176,2693214208,1161433088,32.3,77160448,1211224064,104853504,104853504,0,0,15379681280,10904518656,3798425600,74.2,264289280,30773248,233516032,11.6,1202379264,113468416,22.0247708002726,"EDGE","CNN","128",0.1
24,4.3,"2021-07-08 18:26:54.455568",35.6,34.3,36.4,32.4,50,3979698176,2695135232,1160032256,32.3,77160448,1210716160,104853504,104853504,0,0,15379681280,10904530944,3798413312,74.2,264289280,30773248,233516032,11.6,1202379264,113701888,23.0259160002073,"EDGE","CNN","128",0.1
25,4.3,"2021-07-08 18:27:54.517253",36.7,36,38.2,32.7,33.3,3979698176,2697388032,1157255168,32.2,77160448,1211330560,104853504,104853504,0,0,15379681280,10904563712,3798380544,74.2,264289280,30773248,233516032,11.6,1202379264,113964032,24.0269440809886,"EDGE","CNN","128",0.1
26,4.4,"2021-07-08 18:28:54.591824",38.9,35.6,37.4,32.5,66.7,3979698176,2705108992,1147416576,32,77160448,1213480960,104853504,104853504,0,0,15379681280,10904576000,3798368256,74.2,264289280,30773248,233516032,11.6,1202399744,114275328,25.0281869331996,"EDGE","CNN","128",0.1
27,4.3,"2021-07-08 18:29:54.604638",34.3,35.7,35.8,32.3,50,3979698176,2708815872,1144770560,31.9,77225984,1212358656,104853504,104853504,0,0,15379681280,10904571904,3798372352,74.2,264289280,30773248,233516032,11.6,1202399744,114500608,26.0284005006154,"EDGE","CNN","128",0.1
28,3.4,"2021-07-08 18:30:54.686064",1.2,2.5,2.8,0.4,40,3979698176,2715971584,1145745408,31.8,77238272,1204224000,104853504,104853504,0,0,15379681280,10904571904,3798372352,74.2,264289280,30773248,233516032,11.6,1202399744,114557952,27.0297575990359,"EDGE","CNN","128",0.1
29,3.3,"2021-07-08 18:31:54.757793",0.6,2.3,2.2,1.4,66.7,3979698176,2710044672,1143631872,31.9,77246464,1212264448,104853504,104853504,0,0,15379681280,10904571904,3798372352,74.2,264289280,30773248,233516032,11.6,1202399744,114598912,28.0309530814489,"EDGE","CNN","128",0.1
30,3.2,"2021-07-08 18:32:54.835509",0.9,2.2,1.7,1.9,33.3,3979698176,2709061632,1143988224,31.9,77262848,1212891136,104853504,104853504,0,0,15379681280,10904571904,3798372352,74.2,264289280,30773248,233516032,11.6,1202399744,114639872,29.0322483499845,"EDGE","CNN","128",0.1
31,3.5,"2021-07-08 18:33:54.916207",2,3.3,2.3,2.4,50,3979698176,2709037056,1145655296,31.9,77279232,1211240448,104853504,104853504,0,0,15379681280,10904571904,3798372352,74.2,264289280,30773248,233516032,11.6,1202399744,114680832,30.0335933168729,"EDGE","CNN","128",0.1
32,3.2,"2021-07-08 18:34:54.997106",0.2,2.4,1.9,1.7,50,3979698176,2717630464,1144061952,31.7,77291520,1204240384,104853504,104853504,0,0,15379681280,10904571904,3798372352,74.2,264289280,30773248,233516032,11.6,1202399744,114721792,31.0349416335424,"EDGE","CNN","128",0.1
33,3.3,"2021-07-08 18:35:55.075460",1.5,3,2.6,1.2,50,3979698176,2717691904,1143836672,31.7,77303808,1204404224,104853504,104853504,0,0,15379681280,10904571904,3798372352,74.2,264289280,30773248,233516032,11.6,1202399744,114762752,32.036247531573,"EDGE","CNN","128",0.1
34,3.2,"2021-07-08 18:36:55.129579",2.5,3.4,4.1,3.2,50,3979698176,2712817664,1144868864,31.8,77320192,1208258560,104853504,104853504,0,0,15379681280,10904571904,3798372352,74.2,264289280,30773248,233516032,11.6,1202403840,114803712,33.0371495167414,"EDGE","CNN","128",0.1
1,3,"2021-07-08 18:48:05.342966",0.9,2.4,10.6,2.2,0,3979698176,3331215360,529694720,16.3,77479936,1205678080,104853504,104853504,0,0,15379681280,10904580096,3798364160,74.2,264289280,30773248,233516032,11.6,1203063296,115610624,0,"EDGE","CNN","128",0.25
2,3.1,"2021-07-08 18:49:05.390094",4.4,2.2,1.6,2.1,25,3979698176,3305455616,555429888,16.9,77504512,1205678080,104853504,104853504,0,0,15379681280,10904580096,3798364160,74.2,264289280,30773248,233516032,11.6,1203063296,115663872,1.00078546603521,"EDGE","CNN","128",0.25
3,3.3,"2021-07-08 18:50:05.414554",41.6,39,40.1,38.8,50,3979698176,3216101376,640090112,19.2,77561856,1210433536,104853504,104853504,0,0,15379681280,10904600576,3798343680,74.2,264289280,30773248,233516032,11.6,1203063296,115958784,2.00119313398997,"EDGE","CNN","128",0.25
4,4.6,"2021-07-08 18:51:05.429293",46.8,47.6,50.3,44.3,50,3979698176,3212288000,643895296,19.3,77639680,1210466304,104853504,104853504,0,0,15379681280,10904621056,3798323200,74.2,264289280,30773248,233516032,11.6,1203063296,116188160,3.00143878062566,"EDGE","CNN","128",0.25
5,4.7,"2021-07-08 18:52:05.513050",39.4,39.5,40.2,39.5,66.7,3979698176,3213475840,647434240,19.3,77717504,1205755904,104853504,104853504,0,0,15379681280,10904645632,3798298624,74.2,264289280,30773248,233516032,11.6,1203063296,116458496,4.00283473332723,"EDGE","CNN","128",0.25
6,3.4,"2021-07-08 18:53:05.587039",42.6,39.2,38.9,41.1,100,3979698176,3199619072,657117184,19.6,77787136,1209954304,104853504,104853504,0,0,15379681280,10904662016,3798282240,74.2,264289280,30773248,233516032,11.6,1203063296,116679680,5.00406788190206,"EDGE","CNN","128",0.25
7,4.8,"2021-07-08 18:54:05.657418",46.6,50.9,51.4,44.1,0,3979698176,3196907520,659288064,19.7,77864960,1210519552,104853504,104853504,0,0,15379681280,10904686592,3798257664,74.2,264289280,30773248,233516032,11.6,1203063296,116925440,6.00524086554845,"EDGE","CNN","128",0.25
8,4.8,"2021-07-08 18:55:05.681992",49.1,49,47.3,46.5,75,3979698176,3197050880,659148800,19.7,77938688,1210531840,104853504,104853504,0,0,15379681280,10904702976,3798241280,74.2,264289280,30773248,233516032,11.6,1203063296,117183488,7.00565043290456,"EDGE","CNN","128",0.25
