"Id","Watt","currentTime","core0Usage...","core1Usage...","core2Usage...","core3Usage...","totalCpuUsage...","totalMemory","availableMemory","usedMemory","percentageMemory...","buffersMemory","cachedMemory","totalSwap","freeSwap","usedSwap","percentageSwap...","totalExt4Partition","usedExt4Partition","freeExt4Partition","percentageExt4Partition...","totalBootPartition","usedBootPartition","freeBootPartition","percentageBootPartition...","total_IO_read","total_IO_write","Time"
1,"3.70","2021-07-07 19:56:07.362880",1.2,2.8,11.3,1.4,50,3979698176,3368124416,495411200,15.4,62693376,1734696960,104853504,104853504,0,0,15379681280,10891599872,3811344384,74.1,264289280,30773248,233516032,11.6,1168509440,568269824,0
2,"3.70","2021-07-07 19:57:07.394951",2.1,2,2,1.4,40,3979698176,3361669120,501891072,15.5,62709760,1734696960,104853504,104853504,0,0,15379681280,10891599872,3811344384,74.1,264289280,30773248,233516032,11.6,1168509440,568310784,1.00053451855977
3,"3.80","2021-07-07 19:58:07.465893",13.1,16.4,50.3,15.2,33.3,3979698176,3315556352,543293440,16.7,62791680,1739440128,104853504,104853504,0,0,15379681280,10891624448,3811319808,74.1,264289280,30773248,233516032,11.6,1168509440,568650752,2.00171688397725
4,"4.50","2021-07-07 19:59:07.535989",12.5,16.9,17,10.7,50,3979698176,3315560448,543281152,16.7,62881792,1739395072,104853504,104853504,0,0,15379681280,10891632640,3811311616,74.1,264289280,30773248,233516032,11.6,1168509440,568876032,3.00288515090942
5,"4.50","2021-07-07 20:00:07.591753",11.1,17.8,15.5,11.8,50,3979698176,3314921472,543387648,16.7,62976000,1739935744,104853504,104853504,0,0,15379681280,10891640832,3811303424,74.1,264289280,30773248,233516032,11.6,1168509440,569162752,4.00381455024083
6,"4.50","2021-07-07 20:01:07.651748",10.7,17.3,16.3,12.7,0,3979698176,3314769920,544063488,16.7,63066112,1739493376,104853504,104853504,0,0,15379681280,10891665408,3811278848,74.1,264289280,30773248,233516032,11.6,1168509440,569433088,5.00481446584066
7,"4.50","2021-07-07 20:02:07.675254",11.4,18.4,14.6,13.2,66.7,3979698176,3314864128,543969280,16.7,63156224,1739431936,104853504,104853504,0,0,15379681280,10891661312,3811282944,74.1,264289280,30773248,233516032,11.6,1168509440,569715712,6.00520623524984
8,"4.50","2021-07-07 20:03:07.703051",11.3,19.7,14.8,10.8,0,3979698176,3313713152,543645696,16.7,63246336,1740922880,104853504,104853504,0,0,15379681280,10891677696,3811266560,74.1,264289280,30773248,233516032,11.6,1168509440,569977856,7.00566951831182
9,"4.50","2021-07-07 20:04:07.772117",14.2,15.5,15.1,12.7,0,3979698176,3313221632,545579008,16.7,63336448,1739415552,104853504,104853504,0,0,15379681280,10891669504,3811274752,74.1,264289280,30773248,233516032,11.6,1168509440,570268672,8.00682061513265
10,"4.60","2021-07-07 20:05:07.841231",12.2,16.6,15.2,11.9,0,3979698176,3314106368,544686080,16.7,63426560,1739509760,104853504,104853504,0,0,15379681280,10891689984,3811254272,74.1,264289280,30773248,233516032,11.6,1168509440,570514432,9.00797251860301
11,"4.50","2021-07-07 20:06:07.908333",12,17.9,13.8,14,50,3979698176,3314139136,544653312,16.7,63516672,1739452416,104853504,104853504,0,0,15379681280,10891689984,3811254272,74.1,264289280,30773248,233516032,11.6,1168509440,570784768,10.0090908845266
12,"4.50","2021-07-07 20:07:07.955484",13.6,14,13.7,14.6,66.7,3979698176,3314040832,543768576,16.7,63598592,1740447744,104853504,104853504,0,0,15379681280,10891702272,3811241984,74.1,264289280,30773248,233516032,11.6,1168509440,571005952,11.0098767320315
13,"4.50","2021-07-07 20:08:08.011216",12.3,19.5,12.4,10.8,50,3979698176,3314839552,544030720,16.7,63680512,1739395072,104853504,104853504,0,0,15379681280,10891710464,3811233792,74.1,264289280,30773248,233516032,11.6,1168509440,571247616,12.0108055988948
14,"4.50","2021-07-07 20:09:08.071201",14.1,15.4,15.3,11.2,75,3979698176,3313942528,544890880,16.7,63770624,1739444224,104853504,104853504,0,0,15379681280,10891718656,3811225600,74.1,264289280,30773248,233516032,11.6,1168509440,571513856,13.0118053515752
15,"4.50","2021-07-07 20:10:08.151933",11.2,16,15.7,9.9,50,3979698176,3314331648,542965760,16.7,63860736,1740988416,104853504,104853504,0,0,15379681280,10891726848,3811217408,74.1,264289280,30773248,233516032,11.6,1168509440,571755520,14.0131508827209
16,"4.50","2021-07-07 20:11:08.223625",9.8,13.5,16,12.8,66.7,3979698176,3314401280,544432128,16.7,63950848,1739464704,104853504,104853504,0,0,15379681280,10891747328,3811196928,74.1,264289280,30773248,233516032,11.6,1168509440,572029952,15.0143457492193
17,"4.50","2021-07-07 20:12:08.293313",12.9,16.6,13.7,11.5,66.7,3979698176,3314589696,544251904,16.7,64032768,1739530240,104853504,104853504,0,0,15379681280,10891755520,3811188736,74.1,264289280,30773248,233516032,11.6,1168509440,572267520,16.0155072172483
18,"4.50","2021-07-07 20:13:08.365782",12.4,16.3,14.5,14,100,3979698176,3313086464,544886784,16.8,64122880,1740361728,104853504,104853504,0,0,15379681280,10891771904,3811172352,74.1,264289280,30773248,233516032,11.6,1168509440,572574720,17.0167150338491
19,"4.50","2021-07-07 20:14:08.435430",13.6,16.2,16.1,11.6,50,3979698176,3313152000,544976896,16.7,64212992,1740279808,104853504,104853504,0,0,15379681280,10891788288,3811155968,74.1,264289280,30773248,233516032,11.6,1168509440,572832768,18.0178758343061
20,"4.50","2021-07-07 20:15:08.452307",9.4,18.2,16.5,13.2,33.3,3979698176,3312742400,545886208,16.8,64303104,1739747328,104853504,104853504,0,0,15379681280,10891788288,3811155968,74.1,264289280,30773248,233516032,11.6,1168509440,573135872,19.0181571165721
21,"4.50","2021-07-07 20:16:08.521551",11.8,16.8,14.2,13.5,0,3979698176,3313070080,545034240,16.8,64393216,1740333056,104853504,104853504,0,0,15379681280,10891808768,3811135488,74.1,264289280,30773248,233516032,11.6,1168509440,573389824,20.0193111817042
22,"4.50","2021-07-07 20:17:08.590857",11.7,20.5,12.5,12.6,50,3979698176,3312406528,545153024,16.8,64491520,1740824576,104853504,104853504,0,0,15379681280,10891808768,3811135488,74.1,264289280,30773248,233516032,11.6,1168509440,573750272,21.0204662839572
23,"4.50","2021-07-07 20:18:08.652236",11.1,18.1,16.5,10.9,50,3979698176,3312287744,544747520,16.8,64581632,1741365248,104853504,104853504,0,0,15379681280,10891821056,3811123200,74.1,264289280,30773248,233516032,11.6,1168509440,574213120,22.0214892665545
24,"4.50","2021-07-07 20:19:08.709674",11.7,17.6,12.9,15.5,66.7,3979698176,3312128000,545435648,16.8,64671744,1740845056,104853504,104853504,0,0,15379681280,10891829248,3811115008,74.1,264289280,30773248,233516032,11.6,1168509440,574491648,23.0224465648333
25,"4.50","2021-07-07 20:20:08.779915",12.6,14.5,16.3,11.6,50,3979698176,3312713728,545603584,16.8,64761856,1740103680,104853504,104853504,0,0,15379681280,10891837440,3811106816,74.1,264289280,30773248,233516032,11.6,1168509440,574741504,24.0236172517141
26,"4.50","2021-07-07 20:21:08.799967",14,17.2,14.1,12.9,50,3979698176,3312648192,546172928,16.8,64851968,1739669504,104853504,104853504,0,0,15379681280,10891857920,3811086336,74.1,264289280,30773248,233516032,11.6,1168509440,575020032,25.0239514509837
27,"4.50","2021-07-07 20:22:08.826128",13.9,16.4,15.2,12.2,50,3979698176,3313438720,544923648,16.7,64942080,1740087296,104853504,104853504,0,0,15379681280,10891857920,3811086336,74.1,264289280,30773248,233516032,11.6,1168509440,575265792,26.0243874669075
28,"4.50","2021-07-07 20:23:08.865992",12.6,17.1,14.6,13.4,0,3979698176,3313577984,545165312,16.7,65032192,1739784192,104853504,104853504,0,0,15379681280,10891878400,3811065856,74.1,264289280,30773248,233516032,11.6,1168509440,575544320,27.0250518679619
29,"4.50","2021-07-07 20:24:08.944230",13.1,18.4,15.8,10.6,50,3979698176,3312095232,546721792,16.8,65122304,1739673600,104853504,104853504,0,0,15379681280,10891878400,3811065856,74.1,264289280,30773248,233516032,11.6,1168509440,575810560,28.026355834802
30,"4.50","2021-07-07 20:25:08.963068",13.3,18.9,13.4,10.4,66.7,3979698176,3312320512,545984512,16.8,65204224,1740263424,104853504,104853504,0,0,15379681280,10891898880,3811045376,74.1,264289280,30773248,233516032,11.6,1168509440,576035840,29.0266698002815
31,"4.50","2021-07-07 20:26:09.032101",14.2,16.7,13,13.4,0,3979698176,3312812032,545988608,16.8,65302528,1739710464,104853504,104853504,0,0,15379681280,10891898880,3811045376,74.1,264289280,30773248,233516032,11.6,1168509440,576334848,30.0278203487396
32,"4.50","2021-07-07 20:27:09.101201",12.3,18.3,13.4,11.4,50,3979698176,3312652288,546148352,16.8,65384448,1739726848,104853504,104853504,0,0,15379681280,10891911168,3811033088,74.1,264289280,30773248,233516032,11.6,1168509440,576601088,31.028972017765
33,"4.50","2021-07-07 20:28:09.152559",11.5,16.1,15.6,14,0,3979698176,3313557504,545222656,16.7,65474560,1739755520,104853504,104853504,0,0,15379681280,10891919360,3811024896,74.1,264289280,30773248,233516032,11.6,1168509440,576846848,32.0298279841741
34,"4.60","2021-07-07 20:29:09.193034",12.4,13.6,18.8,13,75,3979698176,3311267840,546988032,16.8,65564672,1740288000,104853504,104853504,0,0,15379681280,10891927552,3811016704,74.1,264289280,30773248,233516032,11.6,1168509440,577096704,33.0305025657018
