"Tempo","Watt"
"44376.59592737","2.90"
"44376.59662182","3.10"
"44376.59731626","3.90"
"44376.59801071","3.70"
"44376.59870515","3.60"
"44376.59939959","3.60"
"44376.60009404","3.60"
"44376.60078848","3.60"
"44376.60148293","3.70"
"44376.60217737","3.60"
"44376.60287182","3.60"
"44376.60356626","3.60"
"44376.60426071","3.60"
"44376.60495515","4.20"
"44376.60564959","4.20"
"44376.60634404","4.20"
"44376.60703848","4.20"
"44376.60773293","4.30"
"44376.60842737","4.30"
"44376.60912182","4.20"
"44376.60981626","4.30"
"44376.61051071","4.30"
"44376.61120515","4.30"
"44376.61189959","4.20"
"44376.61259404","4.30"
"44376.61328848","4.20"
"44376.61398293","4.30"
"44376.61467737","4.30"
"44376.61537182","4.30"
"44376.61606626","4.20"
"44376.61676071","4.30"
"44376.61745515","4.20"
"44376.61814959","4.30"
"44376.61884404","3.80"
