"Platform","Algorithm","Size","Workload","meanNetworkDelay","meanResponseTime"
"CLOUD","CNN",16,0.01,0.335266332186646,0.377309072941914
"CLOUD","CNN",32,0.01,0.315070223854831,0.356290138919877
"CLOUD","CNN",64,0.01,1.10252067750254,1.14574327960261
"CLOUD","CNN",16,0.1,0.331688958420145,0.373715648150487
"CLOUD","CNN",32,0.1,0.323734365925053,0.364326522184475
"CLOUD","CNN",64,0.1,0.922850985247482,0.965849115924061
"CLOUD","CNN",16,0.25,0.330029599900222,0.373052974051498
"CLOUD","CNN",32,0.25,0.360295496381061,0.401454046286468
"CLOUD","CNN",64,0.25,0.849067580366933,0.892753083048338
"CLOUD","CNN",16,0.5,0.953030307963566,0.995101723913064
"CLOUD","CNN",32,0.5,0.932196468424191,0.974452765282179
"CLOUD","CNN",64,0.5,0.912561986135953,0.955501714805741
"CLOUD","CNN",16,0.75,0.407014250211923,0.450225671882644
"CLOUD","CNN",32,0.75,0.375865317610176,0.417123477928282
"CLOUD","CNN",64,0.75,0.858417312448523,0.904399171342316
"CLOUD","CNN",16,1,0.386023539409785,0.429037506008696
"CLOUD","CNN",32,1,0.422718070601091,0.464308167772221
"CLOUD","CNN",64,1,1.0115281637045,1.05702884373462
