"currentTime","totalCpuUsage...","totalMemory","availableMemory","usedMemory","percentageMemory...","buffersMemory","cachedMemory","totalSwap","freeSwap","usedSwap","percentageSwap...","totalPartition","usedPartition","freePartition","percentagePartition...","total_IO_read","total_IO_write","Time"
"2021-09-08 22:00:39.841914",0,4119285760,3693297664,178196480,10.3,0,0,0,0,83067539456,25889181696,57161580544,31.2,1583208960,992637952,NA,NA,0
"2021-09-08 22:01:39.892487",0,4119285760,3693064192,178425856,10.3,0,0,0,0,83067539456,25889181696,57161580544,31.2,1583208960,993190912,NA,NA,1.00084288517634
"2021-09-08 22:02:39.936704",0,4119285760,3693563904,177926144,10.3,0,0,0,0,83067539456,25889181696,57161580544,31.2,1583208960,993555456,NA,NA,2.0015798330307
"2021-09-08 22:03:39.999066",0,4119285760,3693481984,178012160,10.3,0,0,0,0,83067539456,25889181696,57161580544,31.2,1583208960,993616896,NA,NA,3.00261920293172
"2021-09-08 22:04:40.033829",0,4119285760,3693608960,177876992,10.3,0,0,0,0,83067539456,25889181696,57161580544,31.2,1583208960,993637376,NA,NA,4.0031985839208
"2021-09-08 22:05:40.068475",0,4119285760,3693842432,177643520,10.3,0,0,0,0,83067539456,25889181696,57161580544,31.2,1583208960,993657856,NA,NA,5.00377601782481
"2021-09-08 22:06:40.084980",0,4119285760,3694116864,177369088,10.3,0,0,0,0,83067539456,25889181696,57161580544,31.2,1583208960,993694720,NA,NA,6.00405110120773
"2021-09-08 22:07:40.147314",0,4119285760,3694358528,177127424,10.3,0,0,0,0,83067539456,25889181696,57161580544,31.2,1583208960,993756160,NA,NA,7.00509000221888
"2021-09-08 22:08:40.200585",0,4119285760,3694850048,176635904,10.3,0,0,0,0,83067539456,25889181696,57161580544,31.2,1583208960,993940480,NA,NA,8.0059778491656
"2021-09-08 22:09:40.212694",0,4119285760,3694825472,176656384,10.3,0,0,0,0,83067539456,25889181696,57161580544,31.2,1583208960,993981440,NA,NA,9.00617966651916
"2021-09-08 22:10:40.274883",0,4119285760,3694616576,176869376,10.3,0,0,0,0,83067539456,25889181696,57161580544,31.2,1583208960,994186240,NA,NA,10.0072161515554
"2021-09-08 22:11:40.332892",0,4119285760,3694395392,177090560,10.3,0,0,0,0,83067539456,25889181696,57161580544,31.2,1583208960,994206720,NA,NA,11.0081829667091
"2021-09-08 22:12:40.372788",0,4119285760,3694891008,176586752,10.3,0,0,0,0,83067539456,25889185792,57161576448,31.2,1583208960,994456576,NA,NA,12.0088479002317
"2021-09-08 22:13:40.435496",0,4119285760,3694936064,176549888,10.3,0,0,0,0,83067539456,25889185792,57161576448,31.2,1583208960,994501632,NA,NA,13.0098930358887
"2021-09-08 22:14:40.472810",0,4119285760,3694424064,177061888,10.3,0,0,0,0,83067539456,25889185792,57161576448,31.2,1583208960,994522112,NA,NA,14.0105149348577
"2021-09-08 22:15:40.534930",100,4119285760,3694911488,176574464,10.3,0,0,0,0,83067539456,25889185792,57161576448,31.2,1583208960,994563072,NA,NA,15.0115502675374
"2021-09-08 22:16:40.597562",0,4119285760,3694952448,176533504,10.3,0,0,0,0,83067539456,25889185792,57161576448,31.2,1583208960,994767872,NA,NA,16.0125941356023
"2021-09-08 22:17:40.621407",0,4119285760,3695185920,176300032,10.3,0,0,0,0,83067539456,25889185792,57161576448,31.2,1583208960,995116032,NA,NA,17.0129915515582
"2021-09-08 22:18:40.628518",0,4119285760,3694706688,176779264,10.3,0,0,0,0,83067539456,25889185792,57161576448,31.2,1583208960,995136512,NA,NA,18.0131100694338
"2021-09-08 22:19:40.635085",100,4119285760,3694678016,176807936,10.3,0,0,0,0,83067539456,25889185792,57161576448,31.2,1583208960,995156992,NA,NA,19.0132195194562
"2021-09-08 22:20:40.642396",100,4119285760,3694714880,176771072,10.3,0,0,0,0,83067539456,25889185792,57161576448,31.2,1583208960,995177472,NA,NA,20.0133413672447
"2021-09-08 22:21:40.649291",0,4119285760,3694714880,176771072,10.3,0,0,0,0,83067539456,25889185792,57161576448,31.2,1583208960,995197952,NA,NA,21.0134562849998
"2021-09-08 22:22:40.688626",0,4119285760,3694465024,177020928,10.3,0,0,0,0,83067539456,25889185792,57161576448,31.2,1583208960,995218432,NA,NA,22.0141118685404
"2021-09-08 22:23:40.751104",0,4119285760,3694727168,176758784,10.3,0,0,0,0,83067539456,25889185792,57161576448,31.2,1583208960,995238912,NA,NA,23.015153169632
"2021-09-08 22:24:40.789047",0,4119285760,3694469120,177016832,10.3,0,0,0,0,83067539456,25889185792,57161576448,31.2,1583208960,995259392,NA,NA,24.0157855510712
"2021-09-08 22:25:40.828574",0,4119285760,3694706688,176779264,10.3,0,0,0,0,83067539456,25889185792,57161576448,31.2,1583208960,995476480,NA,NA,25.0164443333944
"2021-09-08 22:26:40.884692",0,4119285760,3694456832,177029120,10.3,0,0,0,0,83067539456,25889185792,57161576448,31.2,1583208960,995496960,NA,NA,26.0173796335856
"2021-09-08 22:27:40.947029",100,4119285760,3694755840,176730112,10.3,0,0,0,0,83067539456,25889185792,57161576448,31.2,1583208960,995517440,NA,NA,27.0184185862541
"2021-09-08 22:28:40.960870",0,4119285760,3695034368,176443392,10.3,0,0,0,0,83067539456,25889189888,57161572352,31.2,1583208960,995738624,NA,NA,28.0186492681503
"2021-09-08 22:29:40.980598",0,4119285760,3694784512,176693248,10.3,0,0,0,0,83067539456,25889189888,57161572352,31.2,1583208960,995771392,NA,NA,29.0189780672391
"2021-09-08 22:30:41.033886",0,4119285760,3694284800,177192960,10.3,0,0,0,0,83067539456,25889189888,57161572352,31.2,1583208960,995808256,NA,NA,30.0198662002881
"2021-09-08 22:31:41.092862",0,4119285760,3694809088,176668672,10.3,0,0,0,0,83067539456,25889189888,57161572352,31.2,1583208960,995832832,NA,NA,31.0208491325378
"2021-09-08 22:32:41.108614",0,4119285760,3694301184,177176576,10.3,0,0,0,0,83067539456,25889189888,57161572352,31.2,1583208960,995853312,NA,NA,32.0211116671562
"2021-09-08 22:33:41.140751",0,4119285760,3694534656,176943104,10.3,0,0,0,0,83067539456,25889189888,57161572352,31.2,1583208960,995873792,NA,NA,33.0216472824415
"2021-09-08 22:34:41.203461",66.7,4119285760,3694800896,176676864,10.3,0,0,0,0,83067539456,25889189888,57161572352,31.2,1583208960,995894272,NA,NA,34.0226924498876
"2021-09-08 22:35:41.266623",50,4119285760,3694841856,176635904,10.3,0,0,0,0,83067539456,25889189888,57161572352,31.2,1583208960,995914752,NA,NA,35.0237451513608
