"Workload","Size","Algorithm","Platform","MeanMemoryUsage","MeanCPUUsage","MeanConsumption","meanNetworkDelay","meanResponseTime"
0,8,"CNN","EDGE",15.4,49.8529411764706,3.71470588235294,0,0
0,8,"KNN","EDGE",17.7,47.9911764705882,3.58823529411765,0,0
0,8,"RF","EDGE",32.8970588235294,47.9,3.71470588235294,0,0
0,32,"CNN","EDGE",31.3,50.7,3.60588235294118,0,0
0,32,"KNN","EDGE",31.4,45.9441176470588,3.57058823529412,0,0
0,32,"RF","EDGE",16.4617647058824,45.4176470588235,3.62941176470588,0,0
0,64,"CNN","EDGE",13.9147058823529,45.3911764705882,3.77352941176471,0,0
0,64,"RF","EDGE",30.6088235294118,47.6441176470588,3.82647058823529,0,0
0,128,"CNN","EDGE",14.8,44.1029411764706,3.20294117647059,0,0
0.1,8,"CNN","EDGE",16.5970588235294,49.9117647058824,4.80882352941177,181.494434909605,181.637572849474
0.1,8,"KNN","EDGE",17.8882352941176,51.4323529411765,4.55294117647059,6.87543543389384,6.90640430800592
0.1,8,"RF","EDGE",33.1529411764706,57.5617647058824,4.77647058823529,59.0550050150134,59.1626713270462
0.1,32,"CNN","EDGE",17.6852941176471,51.7705882352941,4.13235294117647,190.501291130629,190.642351513314
0.1,32,"KNN","EDGE",53.2970588235294,61.2558823529412,5.09705882352941,271.649067592209,271.865899935074
0.1,32,"RF","EDGE",31.5235294117647,57.6058823529412,4.15588235294118,55.1821140915477,55.2916951435854
0.1,64,"CNN","EDGE",21.9676470588235,48.2852941176471,4.81176470588235,223.795468393152,223.948771939514
0.1,64,"RF","EDGE",32.05,50.7382352941177,5.02352941176471,68.1238012957915,68.2349063356748
0.1,128,"CNN","EDGE",29.8382352941176,52.6529411764706,4,314.935192191963,315.155514670049
0.25,8,"CNN","EDGE",16.2911764705882,52.9970588235294,4.55882352941176,9.42853233440984,9.56765927100438
0.25,8,"KNN","EDGE",17.8264705882353,40.0941176470588,4.17647058823529,6.0603408673696,6.09238849124539
0.25,8,"RF","EDGE",33.0852941176471,46.2264705882353,4.48823529411765,7.56536791195347,7.67280846408101
0.25,32,"CNN","EDGE",16.3382352941176,46.3764705882353,3.84705882352941,14.822054187223,14.9597073216896
0.25,32,"KNN","EDGE",51.6352941176471,51.4823529411765,4.6,19.1102280774282,19.3270856107677
0.25,32,"RF","EDGE",31.4735294117647,44.5058823529412,3.77058823529412,15.0625440426833,15.1721375622443
0.25,64,"CNN","EDGE",16.7294117647059,42.2117647058824,4.63529411764706,4.64488564920947,4.79557632033138
0.25,64,"RF","EDGE",30.8205882352941,50.4941176470588,4.53235294117647,6.09682869113255,6.20120057228067
0.25,128,"CNN","EDGE",19.7705882352941,57.6058823529412,4.49705882352941,77.0881157247642,77.304814007959
0.5,8,"CNN","EDGE",16.2558823529412,42.8882352941176,4.35294117647059,6.10368149563299,6.24494232447909
0.5,8,"KNN","EDGE",17.8411764705882,35.9764705882353,4.04411764705882,6.07798051637618,6.11088681629586
0.5,8,"RF","EDGE",33.0941176470588,38.6735294117647,4.30588235294118,6.2835420481395,6.39448134394415
0.5,32,"CNN","EDGE",16.2558823529412,30.1970588235294,3.97058823529412,6.14854390321561,6.29114890109372
0.5,32,"KNN","EDGE",51.7117647058824,44.4147058823529,4.31764705882353,10.8321403044374,11.0485122864501
0.5,32,"RF","EDGE",31.2970588235294,38.2323529411765,3.6,6.21954033784239,6.32949164500141
0.5,64,"CNN","EDGE",16.6647058823529,42.8470588235294,4.43823529411765,6.89182995653524,7.04568936956138
0.5,64,"RF","EDGE",30.8441176470588,39.6529411764706,4.39117647058824,5.77320829720671,5.88471394326518
0.5,128,"CNN","EDGE",18.4147058823529,48.9676470588235,4.12058823529412,10.2497239431164,10.4684537595577
0.75,8,"CNN","EDGE",16.2352941176471,33.8823529411765,4.25588235294118,5.52618092351594,5.66928342017007
0.75,8,"KNN","EDGE",17.7823529411765,34.8205882352941,3.98235294117647,5.70990632890367,5.74628084219924
0.75,8,"RF","EDGE",33.1441176470588,45.1441176470588,4.24117647058824,6.93225479940367,7.04527646207227
0.75,32,"CNN","EDGE",16.2323529411765,38.6411764705882,3.50882352941176,4.07738839036869,4.22218250174977
0.75,32,"KNN","EDGE",51.7676470588235,35.3382352941176,3.85588235294118,7.11436339764579,7.33341270611179
0.75,32,"RF","EDGE",31.4147058823529,35.5852941176471,3.53823529411765,11.7034237915409,11.8162995555003
0.75,64,"CNN","EDGE",16.6764705882353,40.6,4.40882352941177,6.59708436295873,6.75363299240686
0.75,64,"RF","EDGE",30.7735294117647,40.7882352941176,4.25588235294118,5.18832683811668,5.29844687879875
0.75,128,"CNN","EDGE",18.4088235294118,38.1852941176471,3.85588235294118,7.15378730828897,7.37247010055949
1,8,"CNN","EDGE",16.2794117647059,36.6617647058824,4.20588235294118,4.42032243433355,4.57215986699399
1,8,"KNN","EDGE",17.7235294117647,34.1382352941176,3.91176470588235,3.47700234013019,3.51449493955885
1,8,"RF","EDGE",33.1235294117647,31.6147058823529,4.13529411764706,5.41294638863983,5.52516040611632
1,32,"CNN","EDGE",16.2294117647059,35.5882352941176,3.48235294117647,5.30903328448146,5.46454711038205
1,32,"KNN","EDGE",51.5647058823529,35.2794117647059,3.73529411764706,0.56083519624685,0.781052811205462
1,32,"RF","EDGE",31.3205882352941,34.5911764705882,3.46764705882353,5.25381644286602,5.36883680349661
1,64,"CNN","EDGE",15.1676470588235,24.7029411764706,4.30882352941176,3.58031797269587,3.73479220475398
